Date,Field,Crop,Amount_lbs,Wholesale_price_lb,Market_price_lb,Market_Total
2024-08-26,F5,Winter Squash,207.12,,,414.24
2024-08-29,HT 1,Cherry Tomatoes,26.7,,,120.15
2024-08-30,F6,Okra,0.5,2.0,5.0,2.5
2024-09-02,HT 1,Cherry Tomatoes,71.9,,4.5,323.55
2024-09-04,F6,Basil,2.6,11.5,64.0,166.4
2024-09-09,HT 1,Slicing Tomatoes,48.1,1.16,3.0,144.3
2024-09-10,F6,Basil,3.6,,,230.4
2024-09-10,HT 1,Cherry Tomatoes,17.7,,,79.65
2024-09-10,HT 1 & 2,Slicing Tomatoes,8.3,,,24.9
2024-09-12,HT 1,Cherry Tomatoes,15.0,,,67.5
2024-09-17,HT 1,Cherry Tomatoes,17.3,,,77.85
2024-09-17,HT 1,Slicing Tomatoes,17.0,,,51.0
2024-09-17,HT 2,Slicing Tomatoes,39.2,,,117.6
2024-09-17,F6,Basil,5.6,,,358.4
2024-09-19,HT 1,Cherry Tomatoes,9.6,,,43.2
2024-09-19,HT 1,Slicing Tomatoes,9.2,,,27.6
2024-09-19,HT 2,Slicing Tomatoes,6.4,,,19.2
2024-09-24,HT 2,Slicing Tomatoes,19.8,,,59.4
2024-09-24,HT 1,Slicing Tomatoes,25.7,,,77.1
2024-09-24,HT 1,Slicing Tomatoes,12.0,,,36.0
2024-09-30,HT 1,Slicing Tomatoes,14.6,,,43.8
2024-10-01,F6,Basil,2.7,11.5,64.0,172.8
2024-10-01,HT 1,Cherry Tomatoes,7.6,1.67,4.5,34.2
2024-10-01,HT 1 & 2,Slicing Tomatoes,109.8,1.16,3.0,329.4
2024-10-02,F6,Okra,24.5,2.0,5.0,122.5
2024-10-03,HT 1,Cherry Tomatoes,10.0,,,45.0
2024-10-04,HT 1 & 2,Slicing Tomatoes,71.2,,,213.6
2024-10-04,HT 1,Cherry Tomatoes,4.1,,,18.45
2024-10-08,HT 1,Cherry Tomatoes,18.0,,,81.0
2024-10-08,F6,Okra,4.3,,,21.5
2024-10-08,HT 1,Slicing Tomatoes,10.9,,,32.7
2024-10-14,F5,Winter Squash,16.0,1.34,2.0,32.0
2024-10-14,F5,Pumpkins,9.2,0.75,3.0,27.6
2024-10-15,HT 1,Cherry Tomatoes,34.8,,,156.6
2024-10-15,HT 1,Slicing Tomatoes,9.4,,,28.2
2024-10-22,HT 1,Cherry Tomatoes,30.0,,,135.0
2024-10-22,HT 1,Slicing Tomatoes,19.2,,,57.6
2024-10-22,F6,Basil,2.9,,,185.6
2024-10-24,HT 2,Slicing Tomatoes,34.0,,,102.0
2024-10-25,HT 2,Slicing Tomatoes,52.1,,,156.3
2024-10-31,F6,Basil,1.3,,,83.2
2024-10-31,HT 1,Cherry Tomatoes,10.3,,,46.35
2024-11-07,HT 1,Slicing Tomatoes,67.6,,3.0,202.8
2024-11-07,F8,Jalapenos,0.4,1.4,2.0,0.8
